Iteration,Topics,Alpha,Beta,Coherence
1000,30,5,0.05,0.4676
1500,30,5,0.05,0.466
500,40,5,0.05,0.4655
1500,45,5,0.05,0.4646
1500,40,5,0.05,0.4634
1000,40,5,0.05,0.4623
100,45,5,0.05,0.462
500,30,5,0.05,0.4605
1500,50,5,0.05,0.4602
1500,35,5,0.05,0.4599
500,35,5,0.05,0.4594
1000,50,5,0.05,0.4589
1000,35,1,0.05,0.4573
1000,20,10,0.05,0.457
1000,40,1,0.05,0.4567
1000,35,5,0.05,0.4565
500,45,5,0.05,0.4563
100,20,5,0.05,0.4561
1000,25,5,0.05,0.4561
1000,20,5,0.05,0.4553
1500,45,1,0.05,0.4552
500,25,10,0.05,0.4549
1500,20,10,0.05,0.4543
500,50,5,0.05,0.4539
500,20,10,0.05,0.4539
1000,50,1,0.05,0.4536
1500,40,1,0.05,0.4536
1000,40,10,0.05,0.4527
100,25,5,0.05,0.4523
500,45,1,0.05,0.4514
500,20,5,0.05,0.4512
1000,45,5,0.05,0.45
1500,20,5,0.05,0.45
1500,25,5,0.05,0.4497
500,25,1,0.05,0.4493
500,50,1,0.05,0.4489
500,25,5,0.05,0.4488
1500,35,1,0.05,0.4488
1000,45,1,0.05,0.4487
1500,50,1,0.05,0.4472
500,30,10,0.05,0.4471
1500,25,10,0.05,0.4469
500,40,1,0.05,0.4464
1000,25,1,0.05,0.4462
1500,30,1,0.05,0.4462
1500,15,10,0.05,0.4457
1000,35,0.5,0.05,0.4451
1000,25,10,0.05,0.4451
1000,30,10,0.05,0.445
1500,30,10,0.05,0.4449
500,35,10,0.05,0.4443
100,20,10,0.05,0.4441
500,35,1,0.05,0.4441
1000,15,5,0.05,0.4441
1500,45,10,0.05,0.4438
1000,35,10,0.05,0.4426
1500,40,0.5,0.05,0.4424
1500,40,10,0.05,0.4424
100,35,5,0.05,0.4422
500,30,1,0.05,0.442
100,40,5,0.05,0.4419
100,15,5,0.05,0.4417
1500,50,0.5,0.05,0.4416
1000,40,0.5,0.05,0.441
1000,15,10,0.05,0.441
500,15,10,0.05,0.4408
1000,30,1,0.05,0.4408
1000,45,0.5,0.05,0.4404
1500,25,1,0.05,0.4403
100,30,5,0.05,0.4402
1000,50,0.5,0.05,0.44
1500,50,10,0.05,0.4399
1500,35,10,0.05,0.4398
1500,20,1,0.05,0.4383
500,50,0.5,0.05,0.438
500,40,10,0.05,0.4378
1000,20,1,0.05,0.4376
100,30,1,0.05,0.4367
1000,45,10,0.05,0.4362
500,15,5,0.05,0.4361
500,20,1,0.05,0.4359
1500,45,0.5,0.05,0.4355
1500,15,5,0.05,0.4353
1500,25,0.5,0.05,0.4345
500,45,10,0.05,0.4342
500,35,0.5,0.05,0.4341
100,35,10,0.05,0.434
1000,30,0.5,0.05,0.4338
1500,30,0.5,0.05,0.4338
100,50,5,0.05,0.4334
1500,15,1,0.05,0.4325
100,25,10,0.05,0.4315
500,30,0.5,0.05,0.4315
1000,50,10,0.05,0.4309
1000,25,0.5,0.05,0.4308
100,40,1,0.05,0.4305
500,50,10,0.05,0.4289
100,45,1,0.05,0.426
1000,15,1,0.05,0.4249
1500,35,0.5,0.05,0.4245
100,30,10,0.05,0.4238
1000,10,5,0.05,0.4236
500,25,0.5,0.05,0.4232
100,50,1,0.05,0.4225
500,45,0.5,0.05,0.4215
100,35,1,0.05,0.4212
100,45,10,0.05,0.418
1500,20,0.5,0.05,0.4169
100,25,1,0.05,0.4166
500,40,0.5,0.05,0.4163
500,20,0.5,0.05,0.4159
100,20,1,0.05,0.4158
1000,20,0.5,0.05,0.4136
100,40,10,0.05,0.4134
1500,45,0.1,0.05,0.4132
1500,10,5,0.05,0.4119
500,10,5,0.05,0.4108
100,50,10,0.05,0.4095
1000,15,0.5,0.05,0.4088
1500,50,0.1,0.05,0.4087
1500,10,10,0.05,0.408
1500,15,0.5,0.05,0.4067
1000,10,1,0.05,0.4052
1000,10,10,0.05,0.4052
1500,30,0.1,0.05,0.4049
100,15,10,0.05,0.4036
500,15,1,0.05,0.4033
100,35,0.5,0.05,0.401
100,25,0.5,0.05,0.4006
1000,50,0.1,0.05,0.4004
500,10,10,0.05,0.4
100,10,10,0.05,0.3999
1000,35,0.1,0.05,0.3997
1500,25,50,0.05,0.3992
1000,20,50,0.05,0.3991
1500,35,0.1,0.05,0.3987
100,15,1,0.05,0.3982
1000,40,0.1,0.05,0.3974
1000,30,0.1,0.05,0.3961
1000,25,50,0.05,0.3951
1500,25,0.1,0.05,0.395
100,40,0.5,0.05,0.3947
1500,45,0.05,0.05,0.3941
1500,10,50,0.05,0.3941
1000,25,0.1,0.05,0.3937
1500,40,0.1,0.05,0.3937
1000,15,50,0.05,0.3936
100,50,0.5,0.05,0.3935
100,10,5,0.05,0.3935
500,15,0.5,0.05,0.3927
100,45,0.5,0.05,0.3924
1000,45,0.1,0.05,0.3915
1500,20,0.1,0.05,0.3913
100,30,0.5,0.05,0.3899
1500,30,50,0.05,0.3888
500,10,1,0.05,0.3877
1500,10,1,0.05,0.3876
500,35,0.1,0.05,0.3873
100,10,1,0.05,0.3869
1500,35,50,0.05,0.3869
1500,15,50,0.05,0.3858
1000,30,50,0.05,0.3852
1500,50,0.05,0.05,0.3835
1500,30,0.05,0.05,0.3827
500,30,0.1,0.05,0.3818
500,15,50,0.05,0.3817
1500,35,0.05,0.05,0.3812
1500,20,50,0.05,0.3791
500,45,0.1,0.05,0.3789
100,20,0.5,0.05,0.3775
1000,10,0.5,0.05,0.3766
500,20,50,0.05,0.3755
1000,40,50,0.05,0.3748
500,25,50,0.05,0.3742
1500,15,0.1,0.05,0.3741
1000,45,50,0.05,0.3724
500,50,0.1,0.05,0.3721
1000,35,50,0.05,0.372
1500,25,0.05,0.05,0.3717
500,20,0.1,0.05,0.3716
1500,50,50,0.05,0.3709
1500,40,0.05,0.05,0.3706
1000,50,50,0.05,0.3699
1500,40,50,0.05,0.3697
1000,50,0.05,0.05,0.3695
1000,45,0.05,0.05,0.3687
500,40,0.1,0.05,0.3685
1500,10,0.5,0.05,0.3673
1000,20,0.1,0.05,0.3671
100,10,0.5,0.05,0.3664
1000,40,0.05,0.05,0.366
500,45,50,0.05,0.3654
500,25,0.1,0.05,0.3648
1000,20,0.05,0.05,0.3648
500,30,50,0.05,0.3642
500,35,50,0.05,0.3635
1000,30,0.05,0.05,0.363
500,15,0.1,0.05,0.3625
1000,15,0.1,0.05,0.3621
1500,20,0.05,0.05,0.3617
1500,45,50,0.05,0.3617
500,10,50,0.05,0.3615
100,15,0.5,0.05,0.36
1000,25,0.05,0.05,0.3592
500,10,0.5,0.05,0.3586
500,50,50,0.05,0.3584
1500,5,5,0.05,0.3572
500,40,50,0.05,0.3557
1500,5,10,0.05,0.3538
1500,10,0.1,0.05,0.3533
1500,15,0.05,0.05,0.3525
1000,35,0.05,0.05,0.35
1000,10,50,0.05,0.3496
1000,15,0.05,0.05,0.346
1000,10,0.1,0.05,0.3387
1000,5,50,0.05,0.3376
500,30,0.05,0.05,0.3362
1500,10,0.05,0.05,0.3351
500,20,0.05,0.05,0.3343
500,10,0.1,0.05,0.3335
500,40,0.05,0.05,0.3333
500,5,5,0.05,0.3307
1500,5,1,0.05,0.3302
500,35,0.05,0.05,0.329
100,5,5,0.05,0.3266
500,45,0.05,0.05,0.3264
1000,5,5,0.05,0.3264
100,40,50,0.05,0.3239
500,50,0.05,0.05,0.3235
100,5,1,0.05,0.321
100,30,50,0.05,0.3193
500,25,0.05,0.05,0.3192
500,5,1,0.05,0.3185
500,5,10,0.05,0.3182
1000,5,10,0.05,0.318
1500,5,50,0.05,0.3175
100,35,50,0.05,0.3173
500,15,0.05,0.05,0.3163
100,25,50,0.05,0.3136
1500,5,0.5,0.05,0.3126
1000,10,0.05,0.05,0.3117
100,20,50,0.05,0.3055
100,50,50,0.05,0.3052
500,10,0.05,0.05,0.3048
100,5,10,0.05,0.3033
100,15,50,0.05,0.3001
500,5,50,0.05,0.2981
100,45,50,0.05,0.2978
1000,5,0.5,0.05,0.2818
1000,5,0.1,0.05,0.279
100,5,0.5,0.05,0.2766
500,5,0.5,0.05,0.2754
1000,5,1,0.05,0.2753
100,10,50,0.05,0.2751
1000,5,0.05,0.05,0.2728
1500,5,0.1,0.05,0.2717
500,5,0.05,0.05,0.269
1500,5,0.05,0.05,0.2611
100,50,0.1,0.05,0.2609
100,45,0.1,0.05,0.253
100,20,0.1,0.05,0.2526
100,25,0.1,0.05,0.249
100,40,0.1,0.05,0.2444
100,30,0.1,0.05,0.2439
500,5,0.1,0.05,0.243
100,35,0.1,0.05,0.2429
100,15,0.1,0.05,0.2357
100,10,0.1,0.05,0.2279
100,5,0.1,0.05,0.2055
100,5,50,0.05,0.2052
100,35,0.05,0.05,0.2031
100,50,0.05,0.05,0.2031
100,15,0.05,0.05,0.2025
100,25,0.05,0.05,0.2013
100,40,0.05,0.05,0.1989
100,30,0.05,0.05,0.1971
100,45,0.05,0.05,0.1959
100,5,0.05,0.05,0.1929
100,10,0.05,0.05,0.1916
100,20,0.05,0.05,0.1877
